Pokemon_Type_1,Pokemon_Type_2,Avg_Speed
Water,Ice,66.66666667
Ground,Rock,32.5
Ground,null,66.66666667
Normal,null,68.91666667
Fighting,null,66.14285714
Bug,null,53.33333333
Water,null,67.5
Grass,null,60
Fairy,null,47.5
Dragon,null,60
Electric,null,114.1666667
Poison,null,51.7
Psychic,null,93.42857143
Fire,null,81.8
Psychic,Fairy,90
Normal,Fairy,32.5
Bug,Grass,27.5
Electric,Steel,57.5
Rock,Water,56.25
Fire,Flying,95
Electric,Flying,100
Poison,Flying,72.5
Normal,Flying,80.375
Ice,Flying,85
Bug,Flying,87.5
Dragon,Flying,80
Water,Flying,81
Rock,Flying,130
Poison,Ground,80.5
Rock,Ground,42.5
Bug,Poison,59
Grass,Poison,52.22222222
Ghost,Poison,95
Water,Poison,85
Grass,Psychic,47.5
Water,Psychic,53.33333333
Ice,Psychic,95
Water,Fighting,70
